"time","open","high","low","close","volume"
"2023-03-04T00:00:00.000Z","0.530","0.532","0.500","0.517","57858.49813617"
"2023-03-05T00:00:00.000Z","0.518","0.529","0.514","0.514","22696.49215442"
"2023-03-06T00:00:00.000Z","0.523","0.530","0.517","0.527","129000.38829349"
"2023-03-07T00:00:00.000Z","0.524","0.524","0.495","0.509","99956.23179340"
"2023-03-08T00:00:00.000Z","0.506","0.506","0.469","0.472","100389.33360064"
"2023-03-09T00:00:00.000Z","0.474","0.482","0.431","0.438","60245.88601313"
"2023-03-10T00:00:00.000Z","0.437","0.450","0.413","0.449","178573.04854580"
"2023-03-11T00:00:00.000Z","0.448","0.458","0.427","0.439","74654.77342148"
"2023-03-12T00:00:00.000Z","0.441","0.477","0.434","0.477","70349.13729974"
"2023-03-13T00:00:00.000Z","0.479","0.504","0.464","0.500","105285.78926469"
"2023-03-14T00:00:00.000Z","0.501","0.540","0.493","0.527","67998.38946177"
"2023-03-15T00:00:00.000Z","0.531","0.537","0.483","0.489","117388.03118261"
"2023-03-16T00:00:00.000Z","0.491","0.502","0.486","0.497","156148.88511859"
"2023-03-17T00:00:00.000Z","0.494","0.528","0.490","0.528","58698.84513586"
"2023-03-18T00:00:00.000Z","0.523","0.544","0.513","0.521","32216.65019996"
"2023-03-19T00:00:00.000Z","0.528","0.584","0.528","0.558","43234.92040705"
"2023-03-20T00:00:00.000Z","0.549","0.552","0.518","0.524","50699.56420755"
"2023-03-21T00:00:00.000Z","0.521","0.535","0.505","0.530","103587.23274310"
"2023-03-22T00:00:00.000Z","0.533","0.534","0.494","0.503","101345.88668808"
"2023-03-23T00:00:00.000Z","0.509","0.532","0.504","0.519","42912.04693696"
"2023-03-24T00:00:00.000Z","0.519","0.520","0.500","0.507","121395.56013797"
"2023-03-25T00:00:00.000Z","0.509","0.509","0.496","0.497","2492.87092734"
"2023-03-26T00:00:00.000Z","0.500","0.516","0.498","0.507","8933.37154064"
"2023-03-27T00:00:00.000Z","0.516","0.516","0.483","0.487","83792.45684081"
"2023-03-28T00:00:00.000Z","0.487","0.502","0.486","0.496","20779.21468350"
"2023-03-29T00:00:00.000Z","0.501","0.517","0.500","0.516","13846.08433540"
"2023-03-30T00:00:00.000Z","0.518","0.600","0.517","0.568","206802.86550171"
"2023-03-31T00:00:00.000Z","0.567","0.567","0.538","0.561","112524.68289977"
"2023-04-01T00:00:00.000Z","0.558","0.558","0.534","0.539","26336.10747250"
"2023-04-02T00:00:00.000Z","0.540","0.540","0.513","0.520","55850.33795025"
"2023-04-03T00:00:00.000Z","0.522","0.523","0.495","0.515","25041.69224211"
"2023-04-04T00:00:00.000Z","0.516","0.542","0.508","0.540","61996.02451437"
"2023-04-05T00:00:00.000Z","0.539","0.557","0.525","0.539","111451.06630381"
"2023-04-06T00:00:00.000Z","0.537","0.538","0.525","0.538","7316.77502301"
"2023-04-07T00:00:00.000Z","0.538","0.538","0.520","0.527","11672.31894646"
"2023-04-08T00:00:00.000Z","0.525","0.536","0.522","0.530","17728.19635108"
"2023-04-09T00:00:00.000Z","0.532","0.536","0.519","0.534","4832.56931617"
"2023-04-10T00:00:00.000Z","0.533","0.548","0.520","0.547","15623.23358343"
"2023-04-11T00:00:00.000Z","0.546","0.550","0.540","0.545","28536.03514487"
"2023-04-12T00:00:00.000Z","0.543","0.543","0.524","0.535","92763.09104618"
"2023-04-13T00:00:00.000Z","0.536","0.551","0.533","0.549","16330.65299538"
"2023-04-14T00:00:00.000Z","0.551","0.568","0.546","0.568","40470.25519607"
"2023-04-15T00:00:00.000Z","0.564","0.571","0.554","0.566","34800.96788452"
"2023-04-16T00:00:00.000Z","0.567","0.580","0.559","0.574","18529.24109852"
"2023-04-17T00:00:00.000Z","0.576","0.582","0.550","0.557","17562.21564361"
"2023-04-18T00:00:00.000Z","0.556","0.579","0.549","0.569","8002.83404707"
"2023-04-19T00:00:00.000Z","0.570","0.571","0.505","0.511","47470.06361913"
"2023-04-20T00:00:00.000Z","0.512","0.518","0.493","0.512","10108.12142267"
"2023-04-21T00:00:00.000Z","0.508","0.521","0.489","0.492","20514.82831129"
"2023-04-22T00:00:00.000Z","0.491","0.508","0.488","0.507","6943.92449434"
"2023-04-23T00:00:00.000Z","0.508","0.508","0.484","0.494","28244.42178748"
"2023-04-24T00:00:00.000Z","0.491","0.499","0.481","0.487","3857.00554468"
"2023-04-25T00:00:00.000Z","0.484","0.495","0.473","0.495","27128.09424247"
"2023-04-26T00:00:00.000Z","0.496","0.510","0.456","0.479","22424.16296038"
"2023-04-27T00:00:00.000Z","0.481","0.495","0.478","0.490","30456.85346848"
"2023-04-28T00:00:00.000Z","0.488","0.488","0.478","0.484","10781.03721529"
"2023-04-29T00:00:00.000Z","0.482","0.513","0.482","0.495","162803.98383429"
"2023-04-30T00:00:00.000Z","0.494","0.494","0.467","0.475","26706.27148172"
"2023-05-01T00:00:00.000Z","0.473","0.473","0.447","0.455","42831.82570236"
"2023-05-02T00:00:00.000Z","0.453","0.461","0.452","0.459","15073.30085907"
"2023-05-03T00:00:00.000Z","0.457","0.458","0.440","0.455","63930.95686012"
"2023-05-04T00:00:00.000Z","0.457","0.457","0.448","0.451","3146.22967971"
"2023-05-05T00:00:00.000Z","0.452","0.466","0.448","0.466","21174.02707727"
"2023-05-06T00:00:00.000Z","0.463","0.466","0.438","0.446","14289.45578706"
"2023-05-07T00:00:00.000Z","0.448","0.455","0.444","0.446","11315.68892218"
"2023-05-08T00:00:00.000Z","0.448","0.449","0.390","0.406","53213.47884258"
"2023-05-09T00:00:00.000Z","0.408","0.418","0.406","0.416","3402.91600265"
"2023-05-10T00:00:00.000Z","0.416","0.425","0.403","0.420","64739.97364466"
"2023-05-11T00:00:00.000Z","0.418","0.418","0.400","0.409","4490.99720278"
"2023-05-12T00:00:00.000Z","0.410","0.414","0.400","0.414","8268.37018651"
"2023-05-13T00:00:00.000Z","0.412","0.413","0.410","0.410","6792.32344252"
"2023-05-14T00:00:00.000Z","0.407","0.416","0.407","0.412","2707.95419044"
"2023-05-15T00:00:00.000Z","0.409","0.421","0.407","0.414","5633.89951878"
"2023-05-16T00:00:00.000Z","0.417","0.422","0.411","0.415","3638.36328715"
"2023-05-17T00:00:00.000Z","0.417","0.418","0.406","0.414","52327.71796117"
"2023-05-18T00:00:00.000Z","0.414","0.415","0.397","0.403","27122.27327748"
"2023-05-19T00:00:00.000Z","0.400","0.403","0.399","0.401","2207.83741541"
"2023-05-20T00:00:00.000Z","0.401","0.404","0.399","0.402","8870.05534637"
"2023-05-21T00:00:00.000Z","0.404","0.404","0.395","0.395","9180.89968973"
"2023-05-22T00:00:00.000Z","0.393","0.398","0.390","0.398","25013.95237931"
"2023-05-23T00:00:00.000Z","0.402","0.404","0.400","0.402","3780.48375866"
"2023-05-24T00:00:00.000Z","0.400","0.400","0.384","0.389","26135.77462739"
"2023-05-25T00:00:00.000Z","0.388","0.395","0.383","0.393","38812.26102568"
"2023-05-26T00:00:00.000Z","0.392","0.395","0.387","0.395","13803.54543047"
"2023-05-27T00:00:00.000Z","0.394","0.396","0.392","0.396","4463.77514175"
"2023-05-28T00:00:00.000Z","0.397","0.408","0.396","0.404","62394.16507471"
"2023-05-29T00:00:00.000Z","0.406","0.406","0.392","0.393","47295.06174744"
"2023-05-30T00:00:00.000Z","0.393","0.399","0.390","0.394","16825.40105564"
"2023-05-31T00:00:00.000Z","0.396","0.397","0.376","0.380","64106.15880175"
"2023-06-01T00:00:00.000Z","0.380","0.380","0.368","0.371","28112.28714824"
"2023-06-02T00:00:00.000Z","0.368","0.386","0.363","0.381","269892.20860685"
"2023-06-03T00:00:00.000Z","0.380","0.380","0.370","0.370","49505.22960085"
"2023-06-04T00:00:00.000Z","0.371","0.377","0.369","0.372","71045.16810236"
"2023-06-05T00:00:00.000Z","0.371","0.372","0.282","0.328","3346749.44287450"
"2023-06-06T00:00:00.000Z","0.327","0.340","0.315","0.334","229692.52818495"
"2023-06-07T00:00:00.000Z","0.333","0.333","0.311","0.315","78673.31962527"
"2023-06-08T00:00:00.000Z","0.313","0.328","0.312","0.323","163364.35005819"
"2023-06-09T00:00:00.000Z","0.323","0.327","0.318","0.321","61898.17245826"
"2023-06-10T00:00:00.000Z","0.323","0.323","0.236","0.274","580777.19030879"
"2023-06-11T00:00:00.000Z","0.273","0.276","0.266","0.269","113260.87043387"
"2023-06-12T00:00:00.000Z","0.269","0.274","0.260","0.270","145256.06290500"
"2023-06-13T00:00:00.000Z","0.270","0.277","0.264","0.268","39456.89022471"
"2023-06-14T00:00:00.000Z","0.267","0.278","0.258","0.263","90428.52191796"
"2023-06-15T00:00:00.000Z","0.263","0.265","0.254","0.261","41231.66633577"
"2023-06-16T00:00:00.000Z","0.260","0.279","0.259","0.276","15008.99924719"
"2023-06-17T00:00:00.000Z","0.273","0.284","0.273","0.277","16373.88101780"
"2023-06-18T00:00:00.000Z","0.276","0.284","0.275","0.276","24546.52831757"
"2023-06-19T00:00:00.000Z","0.275","0.278","0.271","0.277","7598.87078050"
"2023-06-20T00:00:00.000Z","0.278","0.294","0.274","0.293","32714.80382923"
"2023-06-21T00:00:00.000Z","0.293","0.313","0.291","0.310","27718.51927404"
"2023-06-22T00:00:00.000Z","0.308","0.316","0.299","0.305","50372.87039234"
"2023-06-23T00:00:00.000Z","0.306","0.325","0.305","0.317","183255.36374789"
"2023-06-24T00:00:00.000Z","0.319","0.331","0.317","0.327","32779.33093164"
"2023-06-25T00:00:00.000Z","0.325","0.349","0.324","0.327","114071.39002489"
"2023-06-26T00:00:00.000Z","0.326","0.332","0.313","0.319","17879.25532237"
"2023-06-27T00:00:00.000Z","0.320","0.326","0.317","0.319","9468.54589818"
"2023-06-28T00:00:00.000Z","0.318","0.318","0.289","0.299","100616.89883461"
